"original_miRNA_id","feature_family","primary_logFC","primary_FDR","scenario","scenario_logFC","scenario_FDR","normalized_miRNA_id","miRNA_type","mature_or_precursor","arm","mapping_status","legacy_name_status"
"hsa-miR-21-5p:hsa-mir-21","MATURE",-0.153537429236031,0.954302845955942,"EXCLUDE_GSM4676447",-0.16970514617796,0.998587042388098,"hsa-miR-21-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-26a-5p:hsa-mir-26a-1","MATURE",-0.251091371148908,0.843189393982541,"EXCLUDE_GSM4676447",-0.204656748878551,0.998587042388098,"hsa-miR-26a-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-let-7b-5p:hsa-let-7b","MATURE",0.0560305555351312,0.981068937087881,"EXCLUDE_GSM4676447",0.126493797824985,0.998587042388098,"hsa-let-7b-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-let-7a-5p:hsa-let-7a-1","MATURE",-0.0939977324163609,0.954302845955942,"EXCLUDE_GSM4676447",-0.0136055564379745,0.998587042388098,"hsa-let-7a-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-200c-3p:hsa-mir-200c","MATURE",0.274720981705558,0.948810508224733,"EXCLUDE_GSM4676447",0.227252611383945,0.998587042388098,"hsa-miR-200c-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-200b-3p:hsa-mir-200b","MATURE",0.374084868134066,0.913328740245061,"EXCLUDE_GSM4676447",0.313178581122223,0.998587042388098,"hsa-miR-200b-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-92a-3p:hsa-mir-92a-1","MATURE",-0.0255714340004925,0.99698024720718,"EXCLUDE_GSM4676447",0.00927860541599631,0.998587042388098,"hsa-miR-92a-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-let-7f-5p:hsa-let-7f-1","MATURE",-0.159403103251657,0.945119595048974,"EXCLUDE_GSM4676447",-0.0686220195763019,0.998587042388098,"hsa-let-7f-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-10a-5p:hsa-mir-10a","MATURE",0.12396333512316,0.954302845955942,"EXCLUDE_GSM4676447",0.0689327745839033,0.998587042388098,"hsa-miR-10a-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-143-3p:hsa-mir-143","MATURE",0.155304575154206,0.954302845955942,"EXCLUDE_GSM4676447",-0.0761281883228616,0.998587042388098,"hsa-miR-143-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-let-7g-5p:hsa-let-7g","MATURE",-0.148508121522175,0.951185018782856,"EXCLUDE_GSM4676447",-0.164202481076744,0.998587042388098,"hsa-let-7g-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-27b-3p:hsa-mir-27b","MATURE",-0.0149167660690777,0.99698024720718,"EXCLUDE_GSM4676447",-0.0352273752052334,0.998587042388098,"hsa-miR-27b-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-26b-5p:hsa-mir-26b","MATURE",-0.228937219551161,0.901493362036003,"EXCLUDE_GSM4676447",-0.1676430536729,0.998587042388098,"hsa-miR-26b-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-29a-3p:hsa-mir-29a","MATURE",-0.178040466127986,0.942554188179476,"EXCLUDE_GSM4676447",-0.20965090839308,0.998587042388098,"hsa-miR-29a-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-100-5p:hsa-mir-100","MATURE",-0.181333361674835,0.948810508224733,"EXCLUDE_GSM4676447",-0.163340444633153,0.998587042388098,"hsa-miR-100-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-194-5p:hsa-mir-194-1","MATURE",0.67072361432374,0.913328740245061,"EXCLUDE_GSM4676447",0.631562372551128,0.998587042388098,"hsa-miR-194-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-23a-3p:hsa-mir-23a","MATURE",0.0243274745771985,0.99698024720718,"EXCLUDE_GSM4676447",0.147395843597967,0.998587042388098,"hsa-miR-23a-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-10b-5p:hsa-mir-10b","MATURE",-0.0943715863754067,0.961686339648352,"EXCLUDE_GSM4676447",-0.155622606943201,0.998587042388098,"hsa-miR-10b-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-23b-3p:hsa-mir-23b","MATURE",-0.221038488522561,0.944180457304669,"EXCLUDE_GSM4676447",-0.0779421862317388,0.998587042388098,"hsa-miR-23b-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-7-5p:hsa-mir-7-1","MATURE",0.350946072736003,0.913328740245061,"EXCLUDE_GSM4676447",0.24789783083201,0.998587042388098,"hsa-miR-7-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-192-5p:hsa-mir-192","MATURE",0.641766900390051,0.913328740245061,"EXCLUDE_GSM4676447",0.610562816755602,0.998587042388098,"hsa-miR-192-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-16-5p:hsa-mir-16-1","MATURE",-0.408901426744348,0.913328740245061,"EXCLUDE_GSM4676447",-0.156443141781252,0.998587042388098,"hsa-miR-16-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-126-3p:hsa-mir-126","MATURE",-0.11765813160366,0.954302845955942,"EXCLUDE_GSM4676447",-0.0274925427497398,0.998587042388098,"hsa-miR-126-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-146a-5p:hsa-mir-146a","MATURE",-0.663137585303764,0.444782861895594,"EXCLUDE_GSM4676447",-0.523763142893777,0.922698286082439,"hsa-miR-146a-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-30d-5p:hsa-mir-30d","MATURE",0.0906407705824496,0.954302845955942,"EXCLUDE_GSM4676447",0.00189010783992416,0.998587042388098,"hsa-miR-30d-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-155-5p:hsa-mir-155","MATURE",-0.12388535153183,0.961686339648352,"EXCLUDE_GSM4676447",0.0655954105739765,0.998587042388098,"hsa-miR-155-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-151a-3p:hsa-mir-151a","MATURE",-0.0325194190309583,0.995435238426363,"EXCLUDE_GSM4676447",-0.00329594840530596,0.998587042388098,"hsa-miR-151a-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-125b-5p:hsa-mir-125b-1","MATURE",0.0579092805609522,0.99698024720718,"EXCLUDE_GSM4676447",-0.0371505047759151,0.998587042388098,"hsa-miR-125b-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-25-3p:hsa-mir-25","MATURE",-0.235106099796809,0.951185018782856,"EXCLUDE_GSM4676447",-0.0737347406535504,0.998587042388098,"hsa-miR-25-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-150-5p:hsa-mir-150","MATURE",-0.801654753953857,0.444782861895594,"EXCLUDE_GSM4676447",-0.563397057374417,0.998587042388098,"hsa-miR-150-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-146b-5p:hsa-mir-146b","MATURE",-0.67685815436321,0.824407689404813,"EXCLUDE_GSM4676447",-0.65247535229085,0.998587042388098,"hsa-miR-146b-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-125a-5p:hsa-mir-125a","MATURE",0.183422524603033,0.951185018782856,"EXCLUDE_GSM4676447",0.0334833574414556,0.998587042388098,"hsa-miR-125a-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
"hsa-miR-1-3p:hsa-mir-1-2","MATURE",0.166824639757948,0.961686339648352,"EXCLUDE_GSM4676447",0.0349121989849391,0.998587042388098,"hsa-miR-1-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1"
